Time,ItemName,ItemID,COUNT
06:00-10:00,פיתות מיני,10777327,3
06:00-10:00,מחלקה כללית,900,276
06:00-10:00,חלב בקבוק יטבתה,107932134,12
06:00-10:00,פיתות קוסמין,10777358,5
06:00-10:00,לחמניות אקטיב,497273,2
06:00-10:00,קוטג` תנובה %3,4127077,17
06:00-10:00,בייגלה ענק,311031,6
06:00-10:00,חלב דל שומן+פקק,42435,22
06:00-10:00,גבינת סימפוניה,105366993,2
06:00-10:00,יופלה דיאט,4124205,1
06:00-10:00,פסק זמן,112350350,1
06:00-10:00,חלה רגילה,379647,10
06:00-10:00,חלה מתוקה מיוחדת,266075,37
06:00-10:00,מנטוס,80854753,1
06:00-10:00,מנטוס,80831402,1
06:00-10:00,סוכריות טעם מנטה,3400801,1
06:00-10:00,פרי חטיף דגנים שוקול,101486688,2
06:00-10:00,מלברו טצ,115190151,6
06:00-10:00,מגבות מטבח מנייר,5427107,16
06:00-10:00,סנו קליר 1000,5425646,2
06:00-10:00,אקונומיקה 4 ליטר,288024,4
06:00-10:00,פרסיל גל.,16509809,3
06:00-10:00,מרק שעועית,103877,1
06:00-10:00,נתחי סלמון,2345282,1
06:00-10:00,פילה אמנון,2657866,7
06:00-10:00,עדשים סנפרוסט,104072,3
06:00-10:00,חלב טרי הכשר,4131074,72
06:00-10:00,אשפתון בזוגות,189550,3
06:00-10:00,משקה ספורט,110111557,1
06:00-10:00,פיתות,3222568,31
06:00-10:00,חלב ללא לקטוז,40974,13
06:00-10:00,קוטג %9 בעלז,4127336,27
06:00-10:00,קוטג %9 מהדרין,41452,3
06:00-10:00,גבינת עמק דק,57088,6
06:00-10:00,פרי מור סחוט,18925065,3
06:00-10:00,סיני מיניס 500 גרם,72968,2
06:00-10:00,מסטיק בקופסא,4009900509770,1
06:00-10:00,לחם הארץ קל,4685010,3
06:00-10:00,קפה טורקי 200,5201882,13
06:00-10:00,צפתית מעודנת,4131814,3
06:00-10:00,טחינה םלא,10328246,2
06:00-10:00,מארז שוקולד חלב,5197628,1
06:00-10:00,קקאו 150 גר`,100858592,1
06:00-10:00,ביצים,11219093,16
06:00-10:00,דני שוקולד,72993637,6
06:00-10:00,חמאה 200 גרם,43111,1
06:00-10:00,יוגורט דנונה טבעי %3,408316,15
06:00-10:00,מי עדן 6,688732,13
06:00-10:00,חטיף קראנצ,112965660,3
06:00-10:00,תה סיני ירוק,6251275,2
06:00-10:00,פתית ציפס,112496294,3
06:00-10:00,פרכוני תירס,65977,1
06:00-10:00,מעדן תפוז,5014271360423,1
06:00-10:00,3 חב נייר טישו,191546,3
06:00-10:00,לחם חיטה קל,4685027,3
06:00-10:00,סנו סושי שישיה,286228,4
06:00-10:00,מעדן הגולן,115678376,10
06:00-10:00,פול ירוק 800 גר,104713,1
06:00-10:00,מטליות לריצפה,103700072,2
06:00-10:00,מטבוחה יום יום,8644112,2
06:00-10:00,רסק עגבניות,2019794,9
06:00-10:00,מלח לימון,11091477,1
06:00-10:00,בלןקצהוב,6002013121,1
06:00-10:00,חצילים מוחמצים,2317814,1
06:00-10:00,קפה גקובס,8714599513866,2
06:00-10:00,פלמוליב,100658338,1
06:00-10:00,ציפס דק,334745,2
06:00-10:00,עיתון שבת,36,10
06:00-10:00,חומוס שלם,208428,2
06:00-10:00,רוטב סויה קיקומן,17677811,3
06:00-10:00,אורז מלא 1 קג,211312,1
06:00-10:00,איטריות נודלס,313283,1
06:00-10:00,מארז שוקולד פרה,178103,3
06:00-10:00,שלגון בננה,4872243,3
06:00-10:00,מחמאה בלובנד,8719200998018,2
06:00-10:00,חמאה 200 ג,14758544,2
06:00-10:00,קולגייט טוטל,8718951236806,1
06:00-10:00,סבון פלמוליב רבע,2730958,1
06:00-10:00,טחינה אל ארז מלא,1216231,4
06:00-10:00,מוצרלה מגורדת,554600,7
06:00-10:00,מוצרלה בייבי,6492432,3
06:00-10:00,לזניה,8076809523738,5
06:00-10:00,קרמבו מארז,6681553,4
06:00-10:00,שוקו פקק 250 מל,3029433,14
06:00-10:00,פרכיות כוסמת,6058000526,1
06:00-10:00,ביצי משק,5271410,29
06:00-10:00,חליות מתוקות,2037637,5
06:00-10:00,עמק לייט,4122348,3
06:00-10:00,סימפוניה זיתים,5839108,6
06:00-10:00,יוגורט פרו,110565527,13
06:00-10:00,גבינה אורדה-ריקוטה,554822,5
06:00-10:00,בולגרית בפרוסות,6492616,1
06:00-10:00,גבינה טוב טעם %5,474540,8
06:00-10:00,פסטרמה דקה,364285,16
06:00-10:00,חלב נטול לקטוז,110563462,10
06:00-10:00,לחם בריאות,13185006,15
06:00-10:00,לחמניה מיוחדת,37,26
06:00-10:00,לחמניות ארוזות,81,24
06:00-10:00,פירורי גריסיני,8493413,5
06:00-10:00,מרקיות,17426525,1
06:00-10:00,שמן קנולה בריאותי,144474,18
06:00-10:00,משקה אורז,8000215204219,2
06:00-10:00,גרעיני ציה,11474911,1
06:00-10:00,אגוזי מלך,4253073,2
06:00-10:00,קוטג %5 מהדרין בעלז,4127329,52
06:00-10:00,טונה רביעיה,10066582,1
06:00-10:00,כפפות אלפא,10300006,3
06:00-10:00,מנקה אסלות "00",412481,1
06:00-10:00,וינדולין,5000146057710,1
06:00-10:00,איטריות פטוציני,8001250152336,1
06:00-10:00,קרם קוקוס,8850161166204,2
06:00-10:00,מטלית קסם חוגלה,16197495,3
06:00-10:00,מטליות מיקרופייבר,111342073,8
06:00-10:00,מסטיק מנטוס,80773429,1
06:00-10:00,אורביט,4009900458504,1
06:00-10:00,עוגיות מחיטה מלאה,311708,2
06:00-10:00,סויה שיבולת שועל,110325619,7
06:00-10:00,סקי %5,5838972,2
06:00-10:00,פרורים לשניצל,3078561,1
06:00-10:00,במבה קרם נוגט,100687109,1
06:00-10:00,שישיה קולה,3119110,9
06:00-10:00,עוגיות תמרים,44,4
06:00-10:00,לחם נבט קל,1009123,1
06:00-10:00,קוואקר,11473952,1
06:00-10:00,חציל האש,1548479,2
06:00-10:00,תה ירוק + לימונית +ל,347752,6
06:00-10:00,פסטרמה בדבש 400,3229116,2
06:00-10:00,בורסיין עירית,3175460030083,1
06:00-10:00,גבינה עין גדי,40301,2
06:00-10:00,משקה סויה לייט,4132552,4
06:00-10:00,מיונז הלמנס לייט,120874,3
06:00-10:00,שומשום 100,1990117,4
06:00-10:00,אורגנו,2517337,1
06:00-10:00,גל רחצה,8710447284117,2
06:00-10:00,גבינה צהובה טרה,102394821,4
06:00-10:00,לחמניות כוסמין,4685447,6
06:00-10:00,קורנפלקס עוגי,169798,2
06:00-10:00,אלפרו שקדים,5411188112709,2
06:00-10:00,יוגורמה 850 גר,571386,1
06:00-10:00,דניאלה וניל,5838002,5
06:00-10:00,אקטימל דנונה תות בננ,102031276,1
06:00-10:00,מיונז היינץ לחיץ,8715700422473,1
06:00-10:00,אורז בסמטי מובחר,8901537024014,3
06:00-10:00,תבלין לשוארמה,11091354,2
06:00-10:00,טופו הבית במרקם קשה,3726615,6
06:00-10:00,וניש,112003959,2
06:00-10:00,מילקי,72940761,2
06:00-10:00,הפסקת אוכל,4136598,13
06:00-10:00,מסטיק בשפורפרת,3116740015536,2
06:00-10:00,סוכריות,7792860006218,2
06:00-10:00,הובה בובה אדום,4009900381352,1
06:00-10:00,שוקולד מילקה,76224935,2
06:00-10:00,ממרח השחר,416021,5
06:00-10:00,חטיף בואנו,80761761,2
06:00-10:00,עוגיות מילקי,106663121,2
06:00-10:00,שוקו שקית 225 מל,42855,11
06:00-10:00,שתיה קרה 500/נקטר,712,4
06:00-10:00,פלפל לבן,2517825,1
06:00-10:00,שמנת עמידה לבישול,4137021,5
06:00-10:00,גבינה צהובה,4122195,4
06:00-10:00,פרמזן,8010721999929,1
06:00-10:00,חמאה 200,55893,22
06:00-10:00,בדין לבן ביבי,341071,3
06:00-10:00,מדליוני תרד,104775,2
06:00-10:00,מוסקט תבלין,134147,1
06:00-10:00,בובת קינדר,80176732,3
06:00-10:00,מים מוגזים,11132507,2
06:00-10:00,ווג מנטה,59039549,1
06:00-10:00,חלב טבעי בקבוק יטבתה,106728127,15
06:00-10:00,אפונה עדינה,104201,4
06:00-10:00,שום קוביות,2253105,6
06:00-10:00,סימפוניה,4584351,8
06:00-10:00,מעדן פרו,112330390,4
06:00-10:00,לחם פשתן,16035025,1
06:00-10:00,מעדן פרו,112330352,18
06:00-10:00,טורטיה חיטה מלאה,2963707,2
06:00-10:00,מוקה,52304,1
06:00-10:00,חלב יטבטה כד,3029815,11
06:00-10:00,מלבי שמנת,17478005,2
